Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Time
3.696757715,-2.012315925,30.28051474,-1.9982,2.779,837.016
3.693039332,-2.012012376,30.33483731,-1.9982,2.775,855.25
3.689176797,-2.012080375,30.3862846,-1.9982,2.772,873.578
3.685214482,-2.010711081,30.42258867,-1.9982,2.768,891.812
3.681493741,-2.01334412,30.47429007,-1.9982,2.765,910.141
3.677792214,-2.01103074,30.52163904,-1.9982,2.761,928.391
3.674061813,-2.012683694,30.56564256,-1.9982,2.757,946.719
3.670301765,-2.011441242,30.61434254,-1.9982,2.753,965.047
3.666733912,-2.012790477,30.65539856,-1.9982,2.749,983.391
3.66299805,-2.011569192,30.70351241,-1.9982,2.746,1001.766
3.659664387,-2.012663191,30.75861687,-1.9982,2.743,1020.172
3.655894136,-2.013905388,30.80590866,-1.9982,2.739,1038.594
3.652326513,-2.010715776,30.8597146,-1.9982,2.735,1056.922
3.648763482,-2.012021546,30.91010409,-1.9982,2.732,1075.203
3.645546859,-2.009214327,30.9551582,-1.9982,2.729,1093.687
3.642076255,-2.01370985,31.00631131,-1.9982,2.725,1112
3.638464063,-2.012817106,31.06151883,-1.9982,2.722,1130.328
3.635076069,-2.014062657,31.12140149,-1.9984,2.719,1148.75
3.631664824,-2.011073765,31.16242581,-1.9982,2.715,1167.125
3.628578536,-2.010892908,31.22480654,-1.9982,2.712,1185.641
3.625012599,-2.012403945,31.27691155,-1.9982,2.709,1203.984
3.621582227,-2.013235908,31.32902135,-1.9982,2.705,1222.406
3.618461252,-2.014193847,31.37758384,-1.9982,2.702,1240.797
3.615067252,-2.012636675,31.43932935,-1.9984,2.699,1259.156
3.611881809,-2.01221032,31.49875419,-1.9982,2.696,1277.547
3.608578677,-2.011552238,31.55468555,-1.9984,2.693,1295.906
3.605534941,-2.014064206,31.60394262,-1.9984,2.689,1314.297
3.602185899,-2.011899392,31.65811516,-1.9982,2.686,1332.687
3.598857145,-2.015418659,31.70091769,-1.9982,2.683,1351.203
3.595767094,-2.01274965,31.75856328,-1.9982,2.679,1369.687
3.593016664,-2.013851295,31.81138303,-1.9984,2.677,1388.125
3.589710094,-2.013554083,31.8692435,-1.9982,2.673,1406.578
3.586652203,-2.01630991,31.91584617,-1.9984,2.671,1425.062
3.583442038,-2.012770996,31.96441739,-1.9982,2.667,1443.609
3.580485344,-2.012822716,32.01315882,-1.9984,2.664,1462.047
3.577250478,-2.012519953,32.06671887,-1.9982,2.661,1480.547
3.574368834,-2.011585028,32.11931241,-1.9982,2.658,1499.031
3.571285128,-2.016228513,32.16182646,-1.9984,2.655,1517.672
3.568720666,-2.012227514,32.21984558,-1.9984,2.652,1536.109
3.565554673,-2.01382426,32.26525995,-1.9984,2.649,1554.781
3.562595409,-2.013887805,32.31437205,-1.9982,2.646,1573.281
3.55978447,-2.010843085,32.37083988,-1.9982,2.643,1591.859
3.556893754,-2.010678198,32.41202453,-1.9984,2.64,1610.406
3.553973588,-2.01347743,32.44708743,-1.9984,2.638,1628.953
3.551197827,-2.013286567,32.50304552,-1.9982,2.635,1647.562
3.5485156,-2.011740383,32.55306505,-1.9982,2.632,1666.062
3.545805831,-2.013022207,32.59899896,-1.9982,2.629,1684.656
3.543110722,-2.013411432,32.64351729,-1.9982,2.626,1703.219
3.540293558,-2.01369896,32.6903002,-1.9982,2.624,1721.891
3.537401006,-2.013064142,32.73007446,-1.9982,2.621,1740.437
3.535187043,-2.011051415,32.77991866,-1.9982,2.618,1759.016
3.532508941,-2.012815244,32.8218147,-1.9982,2.616,1777.641
3.529903338,-2.014840137,32.86578627,-1.9982,2.613,1796.328
3.527547535,-2.012968675,32.90915819,-1.9982,2.61,1815.047
3.525015506,-2.013755437,32.95555573,-1.9982,2.608,1833.75
3.522603357,-2.011997708,32.98375622,-1.9982,2.606,1852.391
3.520112779,-2.011265055,33.02815748,-1.9982,2.603,1871.078
3.517968946,-2.010186981,33.06736385,-1.9982,2.6,1889.844
3.515386248,-2.012520466,33.11495219,-1.9982,2.598,1908.578
3.51328369,-2.013595479,33.16027948,-1.9982,2.596,1927.281
3.511139862,-2.013069557,33.20376348,-1.9984,2.594,1946.031
3.508804841,-2.012128559,33.23715597,-1.9982,2.591,1964.891
3.506891148,-2.011650833,33.28336572,-1.9984,2.589,1983.703
3.504711595,-2.010926156,33.31893014,-1.9984,2.587,2002.484
3.502786369,-2.015082746,33.35414354,-1.9982,2.585,2021.187
3.500641192,-2.012509017,33.39763348,-1.9982,2.583,2039.906
3.498840325,-2.015339954,33.44167147,-1.9984,2.581,2058.641
3.496510092,-2.011784604,33.48501454,-1.9982,2.579,2077.406
3.494762084,-2.014140605,33.5312827,-1.9982,2.577,2096.312
3.492649042,-2.011955439,33.56731617,-1.9982,2.575,2115.047
3.490903811,-2.011700816,33.60771948,-1.9984,2.573,2133.969
3.488848633,-2.01229054,33.66266785,-1.9982,2.571,2152.812
3.48686929,-2.01129035,33.70836355,-1.9982,2.569,2171.625
3.484995872,-2.011624701,33.77033765,-1.9982,2.567,2190.547
3.483173812,-2.013615575,33.81562187,-1.9982,2.565,2209.422
3.480996353,-2.01193091,33.85394213,-1.9982,2.563,2228.297
3.479328829,-2.015181645,33.90438753,-1.9982,2.561,2247.219
3.477212881,-2.014043673,33.953097,-1.9982,2.559,2265.969
3.475310541,-2.013217761,34.00238376,-1.9982,2.557,2284.937
3.47344329,-2.011669639,34.0477983,-1.9982,2.555,2303.859
3.471187902,-2.012893342,34.09934357,-1.9984,2.553,2322.797
3.46915804,-2.011944383,34.14088477,-1.9984,2.551,2341.766
3.467157994,-2.012427485,34.19289487,-1.9984,2.549,2360.594
3.465097993,-2.01029963,34.24423216,-1.9984,2.547,2379.578
3.463197485,-2.012658501,34.30023374,-1.9982,2.545,2398.672
3.460765705,-2.013968219,34.3476222,-1.9982,2.542,2417.797
3.458529543,-2.014453535,34.4037155,-1.9982,2.54,2436.906
3.456375946,-2.01075964,34.45520075,-1.9984,2.538,2455.969
3.453821054,-2.012177998,34.53096955,-1.9984,2.536,2474.984
3.451590712,-2.008709347,34.57901218,-1.9984,2.534,2494.031
3.449343415,-2.016679129,34.64193341,-1.9982,2.531,2513.187
3.446911775,-2.013858671,34.71979044,-1.9982,2.528,2532.391
3.44433708,-2.011575813,34.77469078,-1.9982,2.526,2551.547
3.441861048,-2.011119044,34.83680518,-1.9982,2.524,2570.578
3.438940266,-2.013523872,34.9077224,-1.9982,2.521,2589.703
3.436361035,-2.011292222,34.96834033,-1.9984,2.518,2608.797
3.433670809,-2.013890141,35.03904431,-1.9982,2.516,2627.953
3.43089658,-2.01266874,35.09556779,-1.9984,2.513,2647.234
3.427820898,-2.012841438,35.17021564,-1.9984,2.51,2666.516
3.424844059,-2.011096829,35.24659147,-1.9982,2.507,2685.812
3.421757269,-2.011769901,35.32264085,-1.9984,2.504,2704.969
3.418746324,-2.010560854,35.39646262,-1.9982,2.501,2724.203
3.415457809,-2.012447888,35.45856315,-1.9982,2.498,2743.453
3.411776009,-2.009914541,35.54801733,-1.9982,2.494,2762.625
3.408293969,-2.015248195,35.60928065,-1.9982,2.491,2781.922
3.404357794,-2.015095347,35.68496008,-1.9984,2.487,2801.25
3.400236241,-2.012875925,35.75662514,-1.9984,2.483,2820.625
3.396130718,-2.009719858,35.82367474,-1.9982,2.479,2839.937
3.391813378,-2.01252561,35.9094486,-1.9982,2.475,2859.234
3.387048292,-2.012471772,35.99556666,-1.9982,2.47,2878.578
3.38203092,-2.012391445,36.06802701,-1.9982,2.466,2897.937
3.376548094,-2.01177114,36.15179924,-1.9982,2.46,2917.281
3.370451681,-2.013057211,36.22620797,-1.9982,2.454,2936.687
3.363787029,-2.013129774,36.31758398,-1.9982,2.448,2956.078
3.356852194,-2.010504507,36.40175269,-1.9982,2.442,2975.453
3.348677495,-2.013446755,36.48121162,-1.9982,2.434,2994.969
3.339590897,-2.011998211,36.57401014,-1.9982,2.426,3014.453
3.329635127,-2.014076448,36.67762686,-1.9982,2.416,3033.891
3.318207906,-2.010068542,36.76747018,-1.9982,2.405,3053.375
3.304941443,-2.013866945,36.86185499,-1.9982,2.394,3072.859
3.290377366,-2.011012733,36.97598237,-1.9982,2.38,3092.328
3.273715694,-2.012311378,37.06921618,-1.9982,2.364,3111.828
3.254516461,-2.011090198,37.1810726,-1.9982,2.346,3131.234
3.233102643,-2.011235067,37.3095796,-1.9982,2.327,3150.672
3.20827869,-2.011717027,37.42044438,-1.9982,2.303,3170.187
3.179961765,-2.011061453,37.56172724,-1.9984,2.277,3189.734
3.147222993,-2.011689985,37.69338181,-1.9982,2.247,3209.297
3.109330581,-2.013396072,37.84042744,-1.9984,2.213,3229.016
3.065381579,-2.014808176,37.98252486,-1.9982,2.173,3248.625
3.013061224,-2.011094696,38.13325491,-1.9982,2.125,3268.328
2.949205491,-2.01421697,38.30303121,-1.9982,2.068,3287.969
2.866018014,-2.010609149,38.47644572,-1.9982,1.998,3307.625
2.757251913,-2.014111594,38.66860354,-1.9984,1.906,3327.234
2.612467348,-2.012639099,38.90411224,-1.9982,1.782,3346.937
2.998125197,-0.004200625,38.98218133,-0.0004,0,3366.781
3.07035107,-0.002928804,38.75044302,-0.0006,0.001,3386.641
3.116269359,-0.0002312,38.44516954,-0.0006,0,3406.656
3.148652707,-0.001231366,38.11900862,-0.0006,0,3426.625
3.172906055,-0.001014384,37.76735043,-0.0006,0.001,3446.875
3.191026108,-0.001654597,37.44505872,-0.0006,0,3466.984
3.206036132,-0.003069055,37.11174648,-0.0006,0,3487.078
3.218449403,-0.001556717,36.79878982,-0.0006,0,3507.328
3.228753411,-0.003457734,36.47916483,-0.0006,0,3527.562
3.238095134,0.000231406,36.18014492,-0.0006,0,3547.781
3.245843999,0.000728585,35.8747647,-0.0006,0,3568.062
3.25261434,-0.002659181,35.58584394,-0.0004,0,3588.328
3.258704513,-0.00151258,35.29671123,-0.0006,0,3608.594
3.264120581,-0.001531691,35.0217378,-0.0006,0,3628.953
3.269029953,-0.000405678,34.75487142,-0.0006,0,3649.375
3.273206732,-0.000387596,34.49007848,-0.0006,0,3669.875
3.277169977,-0.006528351,34.23085284,-0.0006,0,3690.234
